,Puesto,Colegio,Calendario,Evaluados,Promedio_Total,Matematica,DE_Matematica,Quimica,DE_Quimica,Fisica,DE_Fisica,Biologia,DE_Biologia,Filosofia,DE_Filosofia,Ingles,DE_Ingles,Lenguaje,DE_Lenguaje,Sociales,DE_Sociales,Municipio,Departamento,Jornada,Oficial
7133,7134,DEPARTAMENTAL DE BACHILLERATO MIXTO,A,59,42.5,41.6,8.0,45.9,5.0,44.7,6.4,44.7,6.9,37.9,8.4,41.1,5.4,44.5,5.7,40.2,7.7,MONTERIA,CORDOBA,TARDE,SI
7134,7135,INST. ED. SAN MARCOS,A,13,42.5,45.6,8.2,45.3,4.0,40.4,7.0,44.8,4.9,39.2,8.4,40.2,5.0,45.4,4.1,39.5,9.4,ACEVEDO,HUILA,COMPLETA U ORDINARIA,SI
7135,7136,INST. ED. MONTEBONITO,A,18,42.5,43.4,6.6,43.4,4.4,41.3,6.3,42.8,6.4,41.3,7.9,39.7,3.7,45.3,4.4,43.0,6.6,MARULANDA,CALDAS,COMPLETA U ORDINARIA,SI
7136,7137,SAGRADO CORAZON DE JESUS,A,22,42.5,42.4,9.4,46.1,4.3,42.6,6.5,44.0,6.5,36.4,5.8,40.6,5.8,44.0,5.1,44.4,8.3,GRAMALOTE,NORTE SANTANDER,MAÑANA,SI
7137,7138,NACIONALIZADO RAFAEL SALAZAR,A,44,42.5,44.4,9.2,42.4,5.9,43.1,7.9,43.5,6.5,39.4,7.2,38.3,5.7,45.8,6.6,43.5,6.3,GAMARRA,CESAR,COMPLETA U ORDINARIA,SI
7138,7139,KIMY PERNIA DOMICO I. E. D.,A,100,42.5,41.8,10.7,45.4,5.6,42.4,7.1,44.3,6.8,38.3,7.5,42.0,6.8,44.4,6.6,41.8,8.7,BOGOTÁ D.C.,BOGOTA,MAÑANA,SI
7139,7140,DEPARTAMENTAL INTEGRADO LUIS A CALVO,A,12,42.5,48.7,6.8,45.4,4.0,40.7,5.4,44.0,5.4,35.6,5.7,42.8,6.5,41.3,6.6,41.9,8.2,GAMBITA,SANTANDER,MAÑANA,SI
7140,7141,INSTITUTO INTEGRADO DE SUBA,F(2),18,42.5,41.5,9.5,44.8,3.5,44.6,6.6,41.9,9.2,39.1,7.6,40.7,5.9,45.3,5.7,42.5,7.6,BOGOTÁ D.C.,BOGOTA,NOCHE,NO
7141,7142,INTEGRADO BLANCA DURAN DE PADILLA,A,109,42.5,43.8,9.9,44.2,6.0,43.5,7.6,44.3,8.1,39.0,7.2,39.7,6.4,43.9,5.7,42.0,8.2,BARRANCABERMEJA,SANTANDER,MAÑANA,SI
7142,7143,INST. ED. 24 DE MAYO,A,35,42.5,42.8,12.1,45.1,5.7,41.4,7.9,44.8,7.6,36.7,7.3,38.7,5.8,44.7,5.8,46.0,8.1,CERETE,CORDOBA,TARDE,SI
7143,7144,INST. ED. SAN PEDRO ALEJANDRINO,A,38,42.5,41.4,9.3,45.6,4.2,41.6,7.2,43.8,6.7,40.8,7.0,39.8,5.9,45.1,6.6,42.3,8.3,IBAGUE,TOLIMA,MAÑANA,SI
7144,7145,BARTOLOME MITRE,A,158,42.5,42.3,10.4,43.9,5.5,43.4,6.1,43.1,7.3,38.8,9.4,41.4,6.9,44.5,5.8,43.0,8.2,CHINCHINA,CALDAS,MAÑANA,SI
7145,7146,INST. ED. EL BAGRE,A,74,42.5,46.4,11.0,43.6,5.4,43.6,8.3,43.4,6.8,39.2,8.4,38.9,7.3,44.2,6.1,41.0,7.9,EL BAGRE,ANTIOQUIA,MAÑANA,SI
7146,7147,INST. ED. ALIANZA,A,111,42.5,43.7,10.1,43.7,5.2,42.6,7.3,42.1,7.7,41.6,7.7,40.5,7.2,43.9,6.6,42.1,7.2,SAN ANDRES SOTAVENTO,CORDOBA,MAÑANA,SI
7147,7148,INST. TECNICO FRANCISCO JOSE DE CALDAS INTEC,A,57,42.5,43.5,8.3,42.8,4.2,43.4,5.6,43.2,6.8,38.6,8.1,40.1,5.6,45.8,5.5,42.9,8.0,SUPIA,CALDAS,MAÑANA,SI
7148,7149,INST. DE BACHILLERATO COMERCIAL INSCCOM,B,8,42.5,42.4,8.7,44.1,5.7,42.4,7.4,43.5,6.8,36.8,6.4,42.3,19.0,45.5,7.5,43.4,6.5,PALMIRA,VALLE,COMPLETA U ORDINARIA,NO
7149,7150,NACIONAL DE BACHILLERATO,A,113,42.5,42.9,9.6,44.4,6.0,45.0,6.0,43.0,7.1,37.0,8.5,39.8,8.8,45.9,6.6,42.3,7.9,LORICA,CORDOBA,MAÑANA,SI
7150,7151,CENTRO JOHANN KEPLER,F(1),100,42.5,42.3,9.3,43.8,6.3,40.9,8.7,44.1,6.7,38.3,9.2,39.0,7.1,48.3,6.6,43.6,7.5,BOGOTÁ D.C.,BOGOTA,MAÑANA,NO
7151,7152,CERVANTES,A,15,42.5,40.1,11.5,45.1,5.5,46.0,6.5,45.5,5.6,41.1,8.1,39.7,5.8,43.1,6.1,39.5,10.1,MORELIA,CAQUETA,MAÑANA,SI
7152,7153,DEPARTAMENTAL DE BACHILLERATO SAN JOSE DE CANALETE,A,111,42.5,42.0,9.7,45.1,6.2,42.1,6.1,43.4,6.9,40.0,7.9,40.6,7.7,44.7,5.1,42.4,6.2,CANALETE,CORDOBA,MAÑANA,SI
7153,7154,COOPERATIVO POPULAR,A,17,42.5,42.9,8.3,43.1,5.4,42.8,4.7,45.1,6.6,39.4,7.0,39.5,7.3,44.4,4.5,43.1,9.2,BOGOTÁ D.C.,BOGOTA,NOCHE,NO
7154,7155,DEPARTAMENTAL DE BACHILLERATO PALERMO,A,33,42.5,44.9,8.4,43.4,3.9,43.4,6.2,44.2,6.4,38.6,7.3,40.3,6.1,44.5,4.2,41.0,8.8,SITIONUEVO,MAGDALENA,COMPLETA U ORDINARIA,SI
7155,7156,BENJAMIN HERRERA,A,106,42.5,42.0,11.6,43.8,5.6,43.0,6.6,43.2,7.1,40.8,8.0,39.9,5.9,45.6,5.6,42.0,8.2,ARJONA,BOLIVAR,MAÑANA,SI
7156,7157,TECNICO COMERCIAL YAREGUI,A,16,42.5,45.0,6.7,42.1,6.4,43.7,5.8,44.7,7.7,35.8,7.0,42.9,5.4,44.7,6.3,41.4,10.8,FLORIDABLANCA,SANTANDER,MAÑANA,NO
7157,7158,PROMOCION INDIGENA IEA PUDI (RAICES Y SUEÑO) PIÑALITO,A,10,42.5,44.8,9.6,45.1,5.1,45.4,4.6,42.8,5.9,38.7,8.0,40.4,4.5,42.0,6.0,41.0,8.9,OROCUE,CASANARE,MAÑANA,SI
7158,7159,BASICO LA LIBERTAD,A,19,42.5,46.5,8.8,42.6,3.4,43.2,4.8,44.6,6.3,39.4,6.7,39.5,5.2,42.1,4.9,42.4,6.9,ROVIRA,TOLIMA,MAÑANA,SI
7159,7160,INST. ED. TECNICA BOLIVAR,A,10,42.5,44.7,7.6,40.7,5.9,44.0,4.5,41.1,7.3,43.7,9.5,39.3,5.2,44.8,3.8,41.9,8.7,SANTA ISABEL,TOLIMA,COMPLETA U ORDINARIA,SI
7160,7161,SYSPRO,F(2),32,42.5,44.5,7.8,43.7,5.4,41.4,9.6,43.5,5.9,39.3,6.3,39.1,6.9,44.8,5.5,44.0,9.0,VILLAVICENCIO,META,TARDE,NO
7161,7162,ESCUELA NORMAL SUPERIOR,A,55,42.5,42.2,8.1,42.8,4.7,43.0,6.5,43.7,6.7,39.4,7.9,40.6,5.5,45.7,5.9,42.9,6.9,VILLAHERMOSA,TOLIMA,COMPLETA U ORDINARIA,SI
7162,7163,INST. ED. PABLO VI,F(2),16,42.5,44.6,7.2,43.9,3.9,41.0,6.9,44.4,8.7,39.1,9.1,39.1,4.5,43.1,6.1,45.1,8.7,FORTUL,ARAUCA,SABATINA - DOMINICAL,SI
7163,7164,INST. ED. DISTRITAL NUEVO HORIZONTE,A,69,42.5,41.7,10.6,44.0,4.6,43.9,6.4,43.3,6.9,38.8,8.0,41.3,6.6,44.6,6.4,42.7,7.4,BOGOTÁ D.C.,BOGOTA,TARDE,SI
7164,7165,DE ADMINISTRACION ROBERT OWEN,A,64,42.5,44.3,8.3,44.5,5.4,41.7,7.1,42.2,7.1,39.6,7.6,40.8,6.4,44.9,6.2,42.2,7.1,BOGOTÁ D.C.,BOGOTA,COMPLETA U ORDINARIA,NO
7165,7166,AGROPECUARIO NUESTRA SEÑORA DEL CARMEN,A,21,42.5,41.9,8.7,44.3,5.7,42.4,7.9,46.1,7.8,38.4,7.0,39.9,3.7,41.9,5.3,45.3,4.7,BOLIVAR,CAUCA,COMPLETA U ORDINARIA,SI
7166,7167,CENTRO EDUCATIVO DISTRITAL BRASILIA,A,51,42.5,46.3,9.0,44.0,4.3,43.2,6.0,44.4,7.0,35.6,9.4,42.1,7.4,43.6,5.8,40.9,8.7,BOGOTÁ D.C.,BOGOTA,TARDE,SI
7167,7168,INST. ED. COL. TENIENTE CRUZ PAREDES,F(2),13,42.5,46.0,7.3,43.3,6.7,46.3,7.5,43.2,6.2,37.9,6.2,39.5,7.3,41.9,7.8,42.2,8.2,CUMARAL,META,NOCHE,SI
7168,7169,INST. ED. DIEGO DE TORRES,A,6,42.5,38.0,9.5,44.2,4.4,42.8,6.8,47.3,8.0,36.7,12.1,40.3,5.8,46.0,5.5,44.8,9.2,TURMEQUE,BOYACA,NOCHE,SI
7169,7170,LICEO LATINO,F(2),6,42.5,40.0,12.7,43.5,5.2,43.8,4.4,44.0,4.9,38.3,15.0,41.3,13.4,43.2,4.7,46.0,12.3,CALI,VALLE,NOCHE,NO
7170,7171,INST. ED. LAS HUACAS,A,12,42.5,42.3,7.6,43.7,5.0,43.4,5.7,44.0,6.9,36.8,6.5,39.6,4.1,45.6,4.7,44.8,5.3,POPAYAN,CAUCA,MAÑANA,SI
7171,7172,INST. TECNICO EN COMUNICACION BARRANCABERMEJA (INTECOBA),A,45,42.5,40.3,8.8,43.1,4.3,42.2,5.4,42.9,6.5,41.6,8.6,39.4,5.5,46.3,6.8,44.3,7.7,BARRANCABERMEJA,SANTANDER,MAÑANA,SI
7172,7173,REPUBLICA DE MEXICO INST. ED. DISTRITAL,A,73,42.5,42.9,10.2,44.4,5.6,42.5,6.5,43.1,6.8,38.7,9.1,41.7,5.8,44.5,5.6,42.4,8.7,BOGOTÁ D.C.,BOGOTA,TARDE,SI
7173,7174,INST. ED. DISTRITAL CIUDADELA ESTUDIANTIL,A,105,42.5,42.5,9.5,43.2,4.9,43.1,7.0,43.2,7.0,38.5,8.1,42.5,6.2,45.4,6.0,41.7,8.3,BARRANQUILLA,ATLANTICO,MAÑANA,SI
7174,7175,INST. SANTO TOMAS DE AQUINO,A,10,42.5,41.4,8.0,42.4,4.7,45.4,5.9,41.5,6.5,41.5,4.7,40.1,6.5,45.2,6.7,42.6,5.7,MALAMBO,ATLANTICO,COMPLETA U ORDINARIA,NO
7175,7176,INST. EDUCATIVO EL TRIUNFO,A,23,42.5,43.6,8.9,45.1,5.6,42.7,7.4,45.0,6.9,37.7,7.5,39.7,6.7,44.5,5.5,41.7,7.1,YOPAL,CASANARE,MAÑANA,SI
7176,7177,INST. ED. TECNICA INDUSTRIAL MOISES CABEZA JUNCO,A,53,42.5,42.0,9.2,44.8,4.5,42.6,6.3,41.7,7.1,40.8,7.2,41.7,5.2,44.7,5.5,41.8,8.5,VILLANUEVA,BOLIVAR,MAÑANA,SI
7177,7178,INST. ED. INTEGRADA MONTELIBANO,A,34,42.5,44.8,7.6,43.7,4.4,42.9,7.8,42.8,5.1,37.0,9.0,42.6,6.2,44.2,6.8,42.1,8.4,EL COPEY,CESAR,TARDE,SI
7178,7179,INST. ED. SINCERIN,A,24,42.5,44.5,7.5,45.6,4.2,43.5,6.2,45.1,7.4,36.5,9.0,39.9,7.2,43.3,5.2,41.7,8.1,ARJONA,BOLIVAR,MAÑANA,SI
7179,7180,DEPARTAMENTAL NOVILLEROS ANEXO AL DEPARTAMENTAL SANTA GEMMA DE G,A,13,42.5,40.2,8.0,44.3,6.1,43.8,5.8,44.5,7.5,39.7,8.4,40.6,4.9,44.3,4.2,42.8,6.3,CAPARRAPI,CUNDINAMARCA,COMPLETA U ORDINARIA,SI
7180,7181,EL MINUTO DE BUENOS DE AIRES,A,107,42.5,43.2,9.2,44.8,4.5,42.9,6.3,42.2,7.3,39.4,7.3,40.4,6.3,44.2,6.6,43.0,7.3,BOGOTÁ D.C.,BOGOTA,MAÑANA,SI
7181,7182,LICEO DEPARTAMENTAL INTEGRADO SANTA TERESA,A,25,42.5,44.1,9.3,41.7,4.5,43.4,5.5,44.0,4.2,36.8,10.2,43.5,3.8,43.5,5.2,43.0,7.1,ARGELIA,ANTIOQUIA,COMPLETA U ORDINARIA,SI
7182,7183,RICARDO NIETO,A,28,42.5,43.3,11.3,43.7,5.4,43.1,6.5,42.4,7.4,38.7,9.0,41.8,6.3,43.5,7.0,43.6,7.5,CALI,VALLE,MAÑANA,NO
7183,7184,INST. TECNICO SANTO TOMAS,F(2),13,42.5,42.7,8.2,42.7,3.8,43.5,3.1,45.0,5.0,43.1,5.7,38.3,8.3,44.0,7.0,40.8,4.1,ZAPATOCA,SANTANDER,NOCHE,SI
7184,7185,INST. ED. JOSE ANTONIO GALAN,A,26,42.5,39.8,9.5,43.1,5.2,42.1,9.1,44.3,8.1,40.0,8.0,41.7,5.8,45.2,6.5,44.0,6.2,YUMBO,VALLE,COMPLETA U ORDINARIA,SI
7185,7186,EL ROSARIO,A,100,42.5,43.3,9.2,43.9,5.4,43.1,6.7,43.5,6.3,39.0,8.0,39.7,5.2,44.5,6.7,43.2,8.6,PUEBLO NUEVO,CORDOBA,MAÑANA,SI
7186,7187,INST. ED. ALFREDO BONILLA MONTAÑO,A,34,42.5,43.2,9.2,43.4,5.1,43.7,5.3,44.1,6.9,38.3,8.4,39.1,5.8,44.4,6.5,43.8,9.2,JAMUNDI,VALLE,COMPLETA U ORDINARIA,SI
7187,7188,INST. ED. COMPARTIR,F(2),37,42.5,44.5,9.1,43.7,3.3,43.9,5.4,43.8,5.5,39.3,7.8,40.4,5.3,42.8,7.1,41.8,8.0,SOACHA,CUNDINAMARCA,SABATINA - DOMINICAL,SI
7188,7189,NACIONALIZADO DE EDUCACION MEDIA,A,82,42.5,44.2,9.0,43.3,4.4,43.3,5.7,42.7,5.7,39.1,7.5,39.5,5.1,44.1,5.4,43.7,7.7,EL PASO,CESAR,MAÑANA,SI
7189,7190,INST. ED. INST. TECNICO DE SANTANDER DE QUILICHAO,F(1),16,42.5,42.6,7.9,43.8,5.6,42.4,7.1,44.9,6.0,37.5,6.4,40.4,10.0,45.9,7.6,42.5,4.9,SANTANDER DE QUILICHAO,CAUCA,NOCHE,SI
7190,7191,COOPERATIVO NOCTURNO JOSE MANUEL SAAVEDRA GALINDO,F(1),6,42.5,46.3,11.9,41.2,9.0,38.0,7.2,46.3,4.0,35.2,9.0,43.2,7.9,47.0,11.5,42.8,7.0,CALI,VALLE,NOCHE,NO
7191,7192,GUSTAVO ROJAS PINILLA PROGRAMA DE EDUCACION ABIERTA Y A DISTANCIA,F(2),16,42.5,43.6,8.2,44.1,4.3,42.2,7.5,43.6,6.4,41.6,8.1,38.9,6.2,45.5,6.5,40.6,5.9,BOGOTÁ D.C.,BOGOTA,NOCHE,NO
7192,7193,COLOMBO DARIEN,A,19,42.5,45.1,10.5,43.5,4.0,42.6,4.7,42.3,9.9,35.9,9.9,40.8,2.9,45.2,6.6,44.6,7.0,APARTADO,ANTIOQUIA,COMPLETA U ORDINARIA,NO
7193,7194,GIMNASIO CARMELITANO,A,7,42.5,42.0,6.8,45.1,5.2,44.1,6.9,41.9,5.7,40.0,11.3,40.7,5.5,45.0,5.4,41.1,5.2,BOGOTÁ D.C.,BOGOTA,COMPLETA U ORDINARIA,NO
7194,7195,INST. ED. TECNICO AGROPECUARIO CERRITO DE LA PALMA,A,17,42.5,43.4,8.9,43.8,4.8,44.1,6.7,42.3,7.2,38.5,9.0,41.6,6.0,42.9,5.6,43.4,7.7,SINCELEJO,SUCRE,MAÑANA,SI
7195,7196,INSTITUTO LOS ANDES,F(2),30,42.5,44.5,10.0,42.7,5.4,41.9,8.0,44.5,7.2,36.6,8.4,41.6,6.8,46.2,5.5,41.9,10.3,VILLAVICENCIO,META,SABATINA - DOMINICAL,NO
7196,7197,MAYOR DEL CARIBE,F(2),6,42.5,45.3,6.7,40.5,2.3,43.5,6.4,42.3,6.9,37.0,2.7,44.8,4.4,45.0,5.9,41.5,6.9,SANTA MARTA,MAGDALENA,TARDE,NO
7197,7198,INST. ED. EVA RIASCOS PLATA,A,35,42.5,40.4,9.9,43.6,6.6,42.8,5.7,44.9,6.6,39.0,8.0,39.8,4.4,44.9,6.3,44.7,6.9,CALI,VALLE,TARDE,SI
7198,7199,SANTA JUANA DE ARCO,A,17,42.5,41.5,7.1,43.9,5.2,43.3,5.0,42.4,7.4,41.6,7.5,38.8,3.9,44.8,4.5,43.8,5.2,CALI,VALLE,COMPLETA U ORDINARIA,NO
7199,7200,DE PROMOCION SOCIAL DE SANTA TERESA,A,43,42.5,42.7,9.9,45.2,5.5,43.0,6.3,44.1,7.6,38.5,8.6,39.9,6.4,43.8,6.8,42.9,9.3,CUMARIBO,VICHADA,COMPLETA U ORDINARIA,SI
7200,7201,INST. TECNICO JUAN PABLO I - PAZ Y FUTURO,F(2),59,42.5,43.3,7.5,43.8,5.0,43.9,6.9,43.1,6.8,38.9,7.3,41.6,5.2,43.6,6.1,41.8,6.9,CUCUTA,NORTE SANTANDER,TARDE,SI
7201,7202,GRANCOLOMBIANO,A,103,42.5,44.8,10.1,43.3,5.2,42.8,6.9,43.2,6.4,38.3,7.9,42.5,8.2,44.3,6.1,40.8,8.6,CUCUTA,NORTE SANTANDER,MAÑANA,NO
7202,7203,SUSANA TROCHEZ DE VIVAS,A,21,42.5,41.3,8.5,44.1,2.9,44.5,5.0,45.3,5.6,39.6,8.4,41.8,6.2,41.8,4.5,41.7,5.9,CALDONO,CAUCA,MAÑANA,SI
7203,7204,INST. AGRICOLA JOSE ACEVEDO Y GOMEZ,A,32,42.5,40.8,8.4,44.6,4.7,43.0,6.8,42.8,5.9,40.4,6.0,41.0,7.7,45.2,6.4,42.3,7.7,SANTA ROSA,CAUCA,COMPLETA U ORDINARIA,SI
7204,7205,LICEO PRESBITERO RICARDO LUIS GUTIERREZ TOBON,A,31,42.5,43.7,9.1,44.7,6.8,40.1,7.6,44.2,6.5,38.6,8.9,41.0,6.3,44.4,5.9,43.2,8.3,BELMIRA,ANTIOQUIA,COMPLETA U ORDINARIA,SI
7205,7206,INST. ED. EL SALVADOR,A,71,42.5,42.5,10.6,43.3,5.4,42.9,6.6,44.0,5.9,38.5,9.0,41.5,9.1,45.0,6.7,42.3,8.2,MEDELLIN,ANTIOQUIA,COMPLETA U ORDINARIA,SI
7206,7207,INST. ED. LA PAZ,A,78,42.5,41.9,9.7,44.5,4.8,43.5,5.9,42.1,6.1,39.0,8.7,40.7,5.6,45.6,5.8,42.7,8.4,APARTADO,ANTIOQUIA,MAÑANA,SI
7207,7208,LA CANDELARIA,A,33,42.5,45.8,9.3,44.6,5.0,44.1,8.6,43.6,9.1,36.5,8.1,41.1,5.6,44.2,4.9,40.1,7.1,LA CAPILLA,BOYACA,COMPLETA U ORDINARIA,SI
7208,7209,INST. JOSE MARIA VARGAS VILA,A,11,42.5,40.9,5.8,41.6,2.8,42.0,4.3,45.3,3.9,41.8,5.1,42.4,5.0,46.0,5.4,40.0,8.9,VALLEDUPAR,CESAR,TARDE,NO
7209,7210,INST. ED. FOCO ROJO,A,36,42.5,44.7,10.0,44.5,4.5,41.2,7.2,43.0,7.4,38.9,6.3,41.1,6.8,44.4,6.4,42.1,7.9,CARTAGENA,BOLIVAR,MAÑANA,SI
7210,7211,CENTRO DE CAPACITACION BOLIVAR CENCABO,F(1),8,42.5,41.9,8.3,41.4,6.6,39.4,4.3,44.9,4.9,38.9,6.1,44.8,18.0,48.5,3.8,40.3,3.8,BOGOTÁ D.C.,BOGOTA,NOCHE,NO
7211,7212,INST. ED. LUIS EDUARDO ARIAS REINEL,A,127,42.5,42.9,9.1,42.7,6.1,42.2,7.0,43.6,6.5,39.9,8.5,41.3,6.7,45.2,7.1,42.1,8.1,BARBOSA,ANTIOQUIA,MAÑANA,SI
7212,7213,CENTRO EDUCATIVO AGUATENDIDA,A,8,42.5,45.6,10.1,43.4,5.4,41.8,5.6,42.9,5.4,42.6,8.7,38.8,7.3,42.4,6.9,42.5,4.8,CARCASI,SANTANDER,COMPLETA U ORDINARIA,SI
7213,7214,INST. ED. DISTRITAL SONIA AHUMADA,A,33,42.5,39.6,10.8,43.4,5.4,42.7,6.4,43.0,7.8,41.3,7.6,41.0,5.6,45.6,6.4,43.4,7.5,BARRANQUILLA,ATLANTICO,COMPLETA U ORDINARIA,SI
7214,7215,INST. ED. ROSA MESA DE MEJIA,A,27,42.5,42.1,8.9,44.5,4.5,43.1,5.4,44.8,6.3,38.0,8.2,41.4,7.9,45.3,4.7,40.8,10.0,ARMENIA,ANTIOQUIA,COMPLETA U ORDINARIA,SI
7215,7216,INST. ED. DISTRITAL INMACULADA CONCEPCION,A,24,42.5,45.8,7.6,43.5,4.9,43.0,5.3,43.5,6.2,37.3,8.6,40.6,7.1,45.1,4.9,41.0,6.6,BARRANQUILLA,ATLANTICO,COMPLETA U ORDINARIA,SI
7216,7217,INTEGRADO FRAY NEPOMUCENO RAMOS,A,108,42.5,41.9,9.3,45.1,5.7,42.1,7.7,44.5,7.6,39.8,8.0,40.9,7.6,44.1,6.2,41.6,9.1,RIONEGRO,SANTANDER,MAÑANA,SI
7217,7218,INST. ED. ZARAGOZA,A,56,42.5,42.1,8.9,43.8,4.6,45.0,6.4,45.6,5.9,37.5,9.0,39.1,4.9,44.2,6.7,42.5,7.0,CARTAGO,VALLE,COMPLETA U ORDINARIA,SI
7218,7219,INST. NOCTURNO RAFAEL NUÑEZ,F(1),14,42.5,44.9,10.8,45.4,3.9,39.9,9.9,42.2,6.6,36.6,7.1,38.8,8.9,48.7,4.2,43.4,6.8,VALLEDUPAR,CESAR,NOCHE,NO
7219,7220,INST. ED. PABLO VI,A,62,42.5,43.6,10.3,43.2,5.0,41.8,6.7,43.5,7.2,38.4,7.1,44.8,6.3,43.7,5.5,40.8,7.5,AYAPEL,CORDOBA,MAÑANA,SI
7220,7221,INST. ED. LEONES,A,13,42.5,42.8,7.3,42.8,4.5,42.2,7.0,44.2,6.2,40.0,7.5,39.1,4.7,44.5,5.6,44.2,4.3,FLORIAN,SANTANDER,COMPLETA U ORDINARIA,SI
7221,7222,JAZMIN OCCIDENTAL,A,39,42.5,42.4,7.7,43.9,5.2,40.7,6.0,43.1,5.9,41.7,6.6,40.8,4.9,44.6,5.8,42.6,5.9,BOGOTÁ D.C.,BOGOTA,COMPLETA U ORDINARIA,NO
7222,7223,INST. ED. TECNICA BICENTENARIO,A,18,42.5,44.2,12.0,44.3,6.5,41.2,9.0,45.0,7.7,38.6,8.2,41.2,7.6,44.2,6.1,41.2,10.7,IBAGUE,TOLIMA,COMPLETA U ORDINARIA,SI
7223,7224,OFICIAL INST. GUATICA,A,33,42.5,43.3,7.7,43.9,4.6,43.3,5.5,42.2,6.1,39.5,8.4,41.3,7.3,43.6,6.8,42.8,7.4,GUATICA,RISARALDA,COMPLETA U ORDINARIA,SI
7224,7225,INST. ED. LA PLAZUELA,A,11,42.5,45.3,12.4,44.7,3.9,44.5,3.8,44.6,3.7,37.6,7.7,39.1,7.3,41.8,6.1,42.3,10.0,ZAPATOCA,SANTANDER,COMPLETA U ORDINARIA,SI
7225,7226,INST. ED. HERNAN VILLA,A,152,42.5,43.6,8.7,43.6,5.2,41.8,6.1,43.6,6.8,38.4,7.8,41.7,7.6,45.0,6.7,42.1,8.1,BELLO,ANTIOQUIA,TARDE,SI
7226,7227,INST. ED. SAN JUAN BAUTISTA DE FLECHA SEVILLA,A,42,42.5,42.6,9.7,44.3,5.2,43.9,7.4,42.5,5.5,40.9,9.3,40.9,6.6,43.1,6.4,41.6,7.4,CHINU,CORDOBA,TARDE,SI
7227,7228,COOPERATIVO NOCTURNO JOSE MANUEL SAAVEDRA GALINDO,F(2),10,42.5,41.5,10.2,43.5,3.6,45.2,7.3,47.8,2.3,38.7,6.8,41.9,8.5,42.1,9.8,39.1,15.2,CALI,VALLE,NOCHE,NO
7228,7229,LICEO PRESBITERO JESUS ANTONIO SERNA,A,24,42.5,42.6,6.9,44.1,6.2,43.5,8.1,42.5,6.8,39.0,6.4,40.8,5.3,43.8,5.0,43.7,5.7,QUINCHIA,RISARALDA,MAÑANA,SI
7229,7230,INST. ED. RURAL LA DANTA,A,20,42.5,40.7,9.5,43.6,4.6,43.7,7.5,44.8,8.6,38.4,8.7,41.4,4.9,44.1,5.5,43.3,8.1,SONSON,ANTIOQUIA,COMPLETA U ORDINARIA,SI
7230,7231,CENTRO EDUCATIVO SAN JERONIMO,A,25,42.5,42.5,9.0,44.3,3.7,44.1,6.3,44.3,6.0,38.4,8.4,40.3,5.6,43.5,4.4,42.3,6.0,RIOSUCIO,CALDAS,COMPLETA U ORDINARIA,SI
7231,7232,CENTRO EDUCATIVO SANTIAGO DE LA SELVA,A,9,42.5,44.4,8.0,45.8,5.6,45.6,6.3,44.2,8.7,35.7,8.3,36.0,5.3,42.6,6.1,45.6,7.7,VALPARAISO,CAQUETA,COMPLETA U ORDINARIA,SI
7232,7233, ENTRE NUBES I.E.D.,A,65,42.5,42.9,8.8,43.2,5.0,40.8,6.8,43.3,7.1,39.7,7.6,43.3,7.7,44.6,6.0,42.1,8.2,BOGOTÁ D.C.,BOGOTA,MAÑANA,SI
7233,7234,INST. ED. DEPARTAMENTAL SAN FRANCISCO,A,8,42.5,45.4,9.7,43.9,2.8,39.8,6.3,44.1,5.1,36.9,8.5,37.6,7.1,46.5,4.7,45.6,4.7,JUNIN,CUNDINAMARCA,COMPLETA U ORDINARIA,SI
7234,7235,DEPARTAMENTAL LEON XIII,A,54,42.5,44.7,9.0,44.2,5.2,42.1,7.2,43.5,5.7,39.1,8.0,40.2,5.1,43.5,6.1,42.5,9.0,SAN JACINTO,BOLIVAR,MAÑANA,SI
7235,7236,BASIS,F(2),8,42.5,44.1,13.8,45.5,3.8,40.3,6.0,43.5,10.1,41.9,5.7,42.5,4.8,44.0,5.2,38.0,13.3,PALMIRA,VALLE,MAÑANA,NO
7236,7237,INST. ED. EL PALMAR,A,37,42.5,39.7,9.1,43.5,4.7,43.6,7.1,44.8,7.8,39.2,8.6,40.8,3.7,45.0,5.3,43.2,5.7,DAGUA,VALLE,TARDE,SI
7237,7238,INST. ED. FINCA LA MESA,A,79,42.5,44.0,9.8,44.1,5.3,41.9,6.6,44.1,7.1,39.0,9.3,40.1,6.6,44.9,7.0,41.6,7.9,MEDELLIN,ANTIOQUIA,COMPLETA U ORDINARIA,SI
7238,7239,RAFAEL VALLE MEZA,A,42,42.5,42.3,9.6,45.7,5.5,41.1,7.8,44.2,6.3,38.1,10.8,39.7,6.6,45.9,5.3,42.9,7.7,VALLEDUPAR,CESAR,TARDE,SI
7239,7240,CORP. EDUCATIVA DE COMPUTO LTDA CODECOMPUTO LTDA,F(2),30,42.5,42.7,9.9,41.8,5.6,42.4,6.5,42.7,5.1,39.3,10.0,43.1,9.3,46.4,6.2,41.5,6.6,ITAGUI,ANTIOQUIA,COMPLETA U ORDINARIA,NO
7240,7241,CORP. TECNICA CEDEFOC,F(2),4,42.5,45.5,7.0,41.5,9.5,40.0,4.6,43.5,3.7,39.0,10.4,41.3,1.5,44.5,5.0,44.5,2.5,PIEDECUESTA,SANTANDER,TARDE,NO
